member_id,first_name,last_name,date_of_birth,age_category,subscription_type,registration_id
M001,Katherine,Fisher,1987-08-25,Adult,Budget,1
M002,Tammy,Tucker,1970-06-15,Adult,Budget,1
M003,Tammy,Howard,1976-06-30,Adult,Comfort,2
M004,William,Campbell,1964-12-11,Adult,Comfort,1
M005,Christine,King,1948-02-15,Senior,Budget,1
M006,Tonya,Patrick,2007-09-12,Adolescent,Budget,2
M007,Kyle,Blair,1955-03-21,Senior,Comfort,1
M008,Thomas,Garcia,1980-02-27,Adult,Budget,1
M009,Leslie,Bowman,1994-04-22,Adult,Comfort,1
M010,Tammy,Woods,1963-01-17,Adult,Budget,1
M011,Jorge,Trujillo,2006-03-04,Adolescent,Budget,2
M012,Sabrina,Davis,2009-11-22,Teen,Budget,1
M013,Jennifer,Glover,1989-06-30,Adult,Deluxe,1
M014,Aaron,Snyder,2020-04-25,Kid,Comfort,1
M015,John,Nguyen,1980-07-22,Adult,Comfort,1
M016,James,Bradley,1943-10-15,Senior,Deluxe,1
M017,Linda,Thomas,1967-09-10,Adult,Comfort,2
M018,Seth,Miller,2009-02-12,Teen,Deluxe,1
M019,Nancy,Bolton,1978-10-11,Adult,Budget,1
M020,Daniel,Arnold,2001-10-22,Adolescent,Comfort,2
M021,Amy,Olsen,1952-03-15,Senior,Budget,1
M022,James,Lloyd,2008-09-30,Teen,Deluxe,2
M023,Briana,Wallace,2009-09-10,Teen,Budget,1
M024,Lauren,Stewart,2016-05-15,Kid,Deluxe,2
M025,Kelly,Lopez,1968-03-02,Adult,Budget,1
M026,Antonio,Zavala,1960-08-18,Adult,Deluxe,2
M027,Thomas,Davis,1970-08-11,Adult,Deluxe,2
M028,Nancy,Mclean,1952-12-09,Senior,Comfort,1
M029,Rachael,Leblanc,1946-02-20,Senior,Deluxe,1
M030,Frances,Massey,2008-10-16,Teen,Comfort,1
M031,Joshua,Cain,2006-08-11,Adolescent,Comfort,2
M032,Patty,Lawrence,1964-07-03,Adult,Deluxe,1
M033,Bethany,Hayes,1992-04-19,Adult,Budget,1
M034,Christopher,Salazar,1983-11-08,Adult,Deluxe,2
M035,Brenda,Rogers,2001-06-03,Adolescent,Comfort,1
M036,John,Dennis,1961-02-15,Adult,Comfort,1
M037,Janice,Watson,1951-02-27,Senior,Deluxe,2
M038,Marvin,Cabrera,1958-06-02,Senior,Deluxe,1
M039,Krista,Wyatt,1948-11-28,Senior,Comfort,1
M040,Brandon,Berry,1964-12-28,Adult,Budget,2
M041,Carrie,Jones,2007-12-03,Adolescent,Deluxe,2
M042,Cynthia,Obrien,1952-02-26,Senior,Comfort,1
M043,David,Davis,2013-08-08,Teen,Budget,1
M044,Benjamin,Smith,1951-01-04,Senior,Comfort,1
M045,Jennifer,Mendoza,1960-05-23,Adult,Deluxe,1
M046,Sharon,Johnson,1943-07-13,Senior,Comfort,1
M047,Christine,Huff,1993-02-21,Adult,Budget,1
M048,Jeffrey,Lucas,1944-09-28,Senior,Budget,2
M049,Ryan,Brown,1982-11-22,Adult,Deluxe,2
M050,Benjamin,Garcia,1998-10-17,Adult,Deluxe,1
M051,James,Howard,1988-06-20,Adult,Deluxe,1
M052,Mary,Sellers,1999-03-19,Adult,Deluxe,1
M053,Heidi,Harris,1958-04-11,Senior,Comfort,1
M054,Kristina,Moore,1943-02-12,Senior,Deluxe,2
M055,Matthew,King,1957-04-04,Senior,Budget,1
M056,Sandra,Wade,2016-06-09,Kid,Deluxe,1
M057,Thomas,Ortiz,1937-01-05,Senior,Budget,1
M058,Nancy,Lowery,2012-09-02,Teen,Deluxe,1
M059,Paul,Sandoval,1983-10-29,Adult,Budget,1
M060,Ann,Smith,1956-02-05,Senior,Comfort,1
M061,Matthew,Williams,1945-12-23,Senior,Budget,2
M062,Dennis,Gill,1973-06-11,Adult,Comfort,1
M063,Michael,Roberts,2000-10-16,Adult,Comfort,1
M064,Brittany,Mcclain,1984-02-07,Adult,Budget,1
M065,David,Collins,2019-09-29,Kid,Deluxe,2
M066,Maria,Miller,1991-08-14,Adult,Comfort,1
M067,James,Cook,2016-02-20,Kid,Budget,2
M068,Jeffrey,West,1967-10-20,Adult,Deluxe,1
M069,Nancy,Johnson,2012-07-16,Teen,Deluxe,1
M070,Robert,Bates,2012-06-13,Teen,Budget,2
M071,Gabriel,Brown,1941-08-01,Senior,Comfort,1
M072,Sean,Dyer,1956-09-04,Senior,Deluxe,1
M073,Cassandra,Smith,2011-08-16,Teen,Budget,1
M074,Troy,Collins,1940-07-06,Senior,Comfort,1
M075,Brendan,Carson,1998-10-05,Adult,Budget,2
M076,Jacob,Key,1991-09-19,Adult,Budget,1
M077,Mary,Anderson,1946-07-30,Senior,Budget,1
M078,Richard,Gregory,1937-03-22,Senior,Comfort,1
M079,Aaron,Smith,1978-04-01,Adult,Budget,1
M080,Tina,Lowe,1935-07-16,Senior,Deluxe,1
M081,Connor,Wilson,2018-07-08,Kid,Comfort,1
M082,Morgan,Ramirez,1962-03-27,Adult,Comfort,1
M083,Craig,Nash,1960-01-07,Adult,Budget,1
M084,Courtney,Johnson,1989-03-16,Adult,Comfort,1
M085,Lauren,Wilson,1996-11-12,Adult,Budget,1
M086,Dennis,Meyer,1970-02-15,Adult,Comfort,2
M087,Darin,Moore,1982-06-14,Adult,Deluxe,2
M088,Bobby,Harris,1937-09-29,Senior,Deluxe,1
M089,Angela,Potts,1970-07-23,Adult,Budget,1
M090,Renee,Williams,2012-06-12,Teen,Comfort,1
M091,Diana,Joseph,2017-11-28,Kid,Deluxe,2
M092,Danielle,Watson,1997-08-22,Adult,Comfort,1
M093,Gregory,Bennett,2008-06-05,Teen,Deluxe,1
M094,Alan,Hernandez,1974-10-29,Adult,Budget,2
M095,Matthew,Richardson,1980-08-04,Adult,Deluxe,2
M096,Matthew,Oliver,1947-12-21,Senior,Deluxe,1
M097,Joseph,Hernandez,1940-10-28,Senior,Deluxe,1
M098,Keith,Foster,2014-08-16,Kid,Comfort,1
M099,David,Wilson,2009-11-12,Teen,Comfort,1
M100,Sarah,Parker,1967-11-03,Adult,Comfort,1
M101,Jessica,Turner,2006-05-27,Adolescent,Comfort,1
M102,Kevin,Rodriguez,1979-12-05,Adult,Budget,2
M103,Regina,Wells,2011-07-19,Teen,Comfort,1
M104,David,Wilson,1981-12-27,Adult,Budget,1
M105,Ronald,Turner,2002-12-16,Adolescent,Comfort,1
M106,Samantha,Sims,1956-05-27,Senior,Comfort,1
M107,Linda,Frey,1986-05-01,Adult,Budget,1
M108,Cameron,Miller,1947-01-17,Senior,Budget,1
M109,Bruce,Smith,1965-04-20,Adult,Budget,2
M110,Angela,Roberts,1988-10-24,Adult,Deluxe,1
M111,Kristina,Klein,2001-09-19,Adolescent,Deluxe,1
M112,Rodney,Richardson,1964-10-13,Adult,Budget,1
M113,Brenda,Jackson,1970-09-23,Adult,Comfort,1
M114,Michael,Brown,1961-05-04,Adult,Deluxe,1
M115,Rebecca,Hayes,1938-12-22,Senior,Comfort,1
M116,David,Sanders,1962-08-31,Adult,Comfort,1
M117,Danielle,Shea,1963-06-03,Adult,Deluxe,1
M118,Cindy,Garcia,1964-08-07,Adult,Deluxe,1
M119,Nicholas,Payne,1997-08-09,Adult,Comfort,1
M120,Daniel,Carlson,1955-10-24,Senior,Comfort,2
M121,Eddie,Sullivan,2001-08-14,Adolescent,Budget,1
M122,Natalie,Simpson,1992-10-26,Adult,Comfort,2
M123,Martha,Bolton,1979-02-07,Adult,Deluxe,2
